"article_year","discipline","all_articles","discipline_number_per_year","percentage_all"
"2015","health_sciences",6553814,42478,0.648141677502596
"2015","life_sciences",6553814,28567,0.435883593888993
"2015","multidisciplinary",6553814,138,0.0021056441333245
"2015","physical_sciences",6553814,11908,0.181695727098755
"2015","social_sciences_and_humanities",6553814,1269,0.0193627710520927
"2016","health_sciences",6553814,187691,2.86384386252036
"2016","life_sciences",6553814,144645,2.20703547583132
"2016","multidisciplinary",6553814,47076,0.718299298698437
"2016","physical_sciences",6553814,67346,1.027584853644
"2016","social_sciences_and_humanities",6553814,8227,0.125529958585947
"2017","health_sciences",6553814,199892,3.05001026882972
"2017","life_sciences",6553814,153585,2.34344459577278
"2017","multidisciplinary",6553814,48192,0.735327551254888
"2017","physical_sciences",6553814,76755,1.1711501119806
"2017","social_sciences_and_humanities",6553814,8594,0.131129751317325
"2018","health_sciences",6553814,216732,3.3069598862586
"2018","life_sciences",6553814,166496,2.54044438856519
"2018","multidisciplinary",6553814,39839,0.60787504802547
"2018","physical_sciences",6553814,97557,1.48855307764303
"2018","social_sciences_and_humanities",6553814,9867,0.150553555532702
"2019","health_sciences",6553814,241840,3.69006505219709
"2019","life_sciences",6553814,176433,2.69206602445538
"2019","multidisciplinary",6553814,41685,0.636041852881391
"2019","physical_sciences",6553814,114861,1.75258254201294
"2019","social_sciences_and_humanities",6553814,10671,0.16282122135294
"2020","health_sciences",6553814,310077,4.73124504296277
"2020","life_sciences",6553814,207607,3.16772798251522
"2020","multidisciplinary",6553814,46540,0.710120854818278
"2020","physical_sciences",6553814,144587,2.2061504949637
"2020","social_sciences_and_humanities",6553814,13605,0.207589046622318
"2021","health_sciences",6553814,342119,5.22015119745541
"2021","life_sciences",6553814,234709,3.58125818035117
"2021","multidisciplinary",6553814,47651,0.727072815920623
"2021","physical_sciences",6553814,172367,2.63002581397641
"2021","social_sciences_and_humanities",6553814,18675,0.284948581085762
"2022","health_sciences",6553814,355262,5.42069091371833
"2022","life_sciences",6553814,235883,3.59917141377525
"2022","multidisciplinary",6553814,45993,0.701774569739086
"2022","physical_sciences",6553814,194292,2.96456384023105
"2022","social_sciences_and_humanities",6553814,21289,0.324833753292358
"2023","health_sciences",6553814,335624,5.12104859857176
"2023","life_sciences",6553814,222229,3.39083471090269
"2023","multidisciplinary",6553814,52533,0.801563791709682
"2023","physical_sciences",6553814,172229,2.62792016984309
"2023","social_sciences_and_humanities",6553814,16468,0.251273533243391
"2024","health_sciences",6553814,358414,5.46878504638673
"2024","life_sciences",6553814,229832,3.50684349601621
"2024","multidisciplinary",6553814,69600,1.06197704115497
"2024","physical_sciences",6553814,160634,2.45100028777136
"2024","social_sciences_and_humanities",6553814,16008,0.244254719465642
"2025","health_sciences",6553814,143324,2.18687927365653
"2025","life_sciences",6553814,92124,1.4056547836115
"2025","multidisciplinary",6553814,25489,0.388918574741364
"2025","physical_sciences",6553814,57351,0.875078236886186
"2025","social_sciences_and_humanities",6553814,6332,0.0966154974797881
