"article_year","all_articles","all_articles_this_year","all_megajournal_articles","megajournal_number_per_year","percentage_megajournal","percentage_all","percentage_this_year"
"2015",6553814,85175,474025,2,0.00042191867517536,3.05165816423841e-05,0.00234810683886117
"2016",6553814,458981,474025,45250,9.54591002584252,0.690437659658941,9.85879589786941
"2017",6553814,489720,474025,49323,10.4051474078371,0.752584678173656,10.0716736094095
"2018",6553814,533297,474025,40942,8.63709719951479,0.624704942801245,7.67714800570789
"2019",6553814,588501,474025,42884,9.04678023311007,0.654336543576,7.28698846730932
"2020",6553814,726748,474025,47557,10.0325932176573,0.725638536583431,6.54380885809111
"2021",6553814,822052,474025,49589,10.4612625916355,0.756643383532093,6.03234345272562
"2022",6553814,862113,474025,48833,10.3017773324192,0.745108115671272,5.66433866558096
"2023",6553814,809873,474025,54335,11.4624756078266,0.82905923176947,6.70907660830772
"2024",6553814,847851,474025,69589,14.6804493433891,1.06180919995593,8.20769215345621
"2025",6553814,329502,474025,25721,5.42608512209272,0.392458498211881,7.80602242171519
"NA",6553814,1,474025,NA,NA,NA,NA
